Described,Database,Focus,Type of data,Includes experimental conditions,Usability,Includes structural information,Identifies APRs,Current status,Last updated,doi,link,Data sources and links to other db,Only amyloids,additional link,,,,,,,notes,protein_types,protein_origins,experimental_results,in_silico_results,interactions_crossinteractions,,3d_structures,download
TRUE,Cross-Beta DB,Amyloids,Both,Yes,General,Structure for the wt protein,APRs,Active,01-05-2024,https://doi.org/10.1101/2024.02.12.579644,https://crossbetadb.crbm.cnrs.fr/,PDB; AmyPro; UniProt; PubMed,Yes,,,,,,,,,multiple,yes,yes,yes,no,,yes,easy
TRUE,SAPdb,Peptides,Experimental,Yes,Specific,Structure for the wt protein,STAPs,Active,10-04-2021,https://doi.org/10.1016/j.compbiomed.2021.104391,https://webs.iiitd.edu.in/raghava/sapdb/,PubMed,No,,,,,,,,,multiple,no,yes,yes,no,,yes,no
TRUE,Fibrilizer,Amyloids,Prediction,No,Specific,Structure for the wt protein,No,Active,05-02-2013,http://dx.doi.org/10.1016/j.bpj.2012.12.037,https://amyloid.cs.mcgill.ca/database/index.html,PDB,Yes,,,,,,,,,multiple,no,no,yes,no,,yes,easy
,ZipperDB,Amyloids,Prediction,No,General,Structure for the wt protein and the aggregate,APRs,Non-active,NA,https://doi.org/10.1073/pnas.0915166107,https://services.mbi.ucla.edu/zipperdb/intro,,,,,,,,,,,,,,,,,,
TRUE,PrionScan,Prion,Prediction,No,General,Sequence-only,APRs,Active,03-07-2019,https://doi.org/10.1186/1471-2164-15-102,http://webapps.bifi.es/prionscan,UniProt; ENA; Protein; KEGG; Pfam; QuickGO,Yes,,,,,,,,,multiple,yes,no,yes,no,,no,easy
,pE-DB,,,,,,,Non-active,NA,https://doi.org/10.1093/nar/gkt960,https://pedb.vib.be/,,,,,,,,,,,,,,,,,,
,AmyPDB,,,,,,,Non-active,NA,https://doi.org/10.1186/1471-2105-9-273,https://amypdb.univ-rennes1.fr/,,,http://amypdb.genouest.org/;,,,,,,,,,,,,,,,
,ProADD,,,,,,,Non-active,NA,https://doi.org/10.6026%2F97320630010390,http://bicmku.in/ProADD,,,,,,,,,,,,,,,,,,
,AmyCo,,,,,,,Non-active,NA,https://doi.org/10.1080/13506129.2019.1603143,http://bioinformatics.biol.uoa.gr/amyco,,,,,,,,,,,,,,,,,,
,fibril_one,,,,,,,Non-active,NA,https://doi.org/10.1110%2Fps.0204302,http://www.bioinformatics.leeds.ac.uk/group/online/fibril_one,,,,,,,,,,,,,,,,,,
TRUE,AmyloBase,Amyloids,Experimental,Yes,General,Sequence-only,No,Active,12-07-2024,https://doi.org/10.1038%2Fembor.2011.116,http://bioserver2.sbsc.unifi.it/AmyloBase.html,PubMed; UniProt,Yes,,,,,,,,,multiple,yes,yes,no,no,,no,easy-medium
,Amyloïdose gezamenlijk,,,,,,,Non-active,NA,https://doi.org/10.3109/13506129.2014.964858,http://www.amyloidosis.nl/,,,,,,,,,,,,,,,,,,
,amyloid interactome,,,,,,,Non-active,NA,https://doi.org/10.1371/journal.pone.0173163,http://83.212.109.111/amyloid_interactome,,,,,,,,,,,,,,,,,,
TRUE,PrionHome,Prion,Both,Yes,General,Structure for the wt protein,No,Non-active,NA,https://doi.org/10.1371/journal.pone.0031785,https://libaio.biol.mcgill.ca/prion,,,,,,,,,,,,,,,,,,
,THERPA,,,,,,,Non-active,NA,http://dx.doi.org/10.1080/19336896.2019.1689789,http://www.nih.go.kr/therpa ,,,https://therpa.pythonanywhere.com/,,,,,,,,,,,,,,,
TRUE,The Prion Disease Database,Prion,Experimental,Yes,Specific,Sequence-only,No,Non-active,NA,https://doi.org/10.1093/database/bap011,http://prion.systemsbiology.net,,,,,,,,,,,,,,,,,,
